,id,username,text,created_at,date,retweets,hashtags,geo,polarity,subjectivity
23,1235339521878827008,ximegui,"Mañalich ""manifestando preocupación de celebrar plebiscito por el corona virus"". Y en USA en plena campaña por primarias los recintos de votación atochados. A este chanta por algo lo echaron del Colegio Médico.",2020-03-04 23:01:08+00:00,2020-03-04,19,,,0.0,0.0
24,1235338309238435841,SanatanaMishra,"Might get off twitter for the day, just saw a tweet about USA health insurer stocks skyrocketing off the back of corona and joe Biden amd im not ready to spiral into that kind of rage right now.",2020-03-04 22:56:19+00:00,2020-03-04,0,,,0.2,0.48
25,1235337949400756224,thomaskaine5,"USA Corona-virus cases. According to WorldOMeter: Total Cases 154 New cases today 30 Deaths 11 There are likely many more cases. But under trump/ republicans policy, ""Don't test, don't tell"", we just don't know. USA only did 450 tests",2020-03-04 22:54:53+00:00,2020-03-04,147,,,0.0575,0.41000000000000003
26,1235337418192162817,SarcasmLiving,"Breaking news: USA Corona virus death toll rises to 11. Student with gun: ""Hold my beer...""",2020-03-04 22:52:46+00:00,2020-03-04,0,,,0.0,0.0
27,1235337211404587008,metak30664875,"Thank you , Heroes of Iran ممنون قهرمانان ایران⁦ ⁩ #mahdinavardi #designer #graphic #graphic_arts #graphic_designer #iran #usa #مهدی_نوردی #ایران #corona #coronavírus #کروناویروس #کرونا #کرونادرایران #کرونا_ویروس #قهرمان #پرستار #پزشک #جانباز #شهید #آتش_نشان #hero",2020-03-04 22:51:57+00:00,2020-03-04,0,#mahdinavardi #designer #graphic #graphic_arts #graphic_designer #iran #usa #corona #coronav #hero,,0.0,0.4
28,1235336616388038658,thatssoezgi,"Coronavirus test in USA costs $3,270 without insurance. Bernie Sanders to corona: thank you for the endersoment",2020-03-04 22:49:35+00:00,2020-03-04,0,,,0.0,0.0
29,1235336606820818947,LeonvanGeel,"Doe ik. Maar ff tussendoor. Welke economie kwam erg naar voren? Ali express- wish etc. Handelsoorlog China. Zomaar wat dingen. EU en USA verloren kapitaal, beurzen onderuit, economie's in de min. Google ff op griep en corona, jaarlijks, besmettingen, overlijden etc",2020-03-04 22:49:33+00:00,2020-03-04,0,,,0.0,0.0
30,1235335466200768519,jlz0z,"Alas, even more, the USA seems to have a particularly bad corona mortality rate at the moment, it's currently 7.1% there for some reason https://www.worldometers.info/coronavirus/ Be safe!",2020-03-04 22:45:01+00:00,2020-03-04,0,,,0.01,0.61
31,1235334526366371844,abelanderer1,@Lufthansa_USA you are the only airline that hasn’t done crap about the corona virus in reference to cancellations let’s get moving I can’t pay $300 on a ticket I’m not using because of the virus,2020-03-04 22:41:17+00:00,2020-03-04,0,,,-0.4,0.9
32,1235333915101081600,carlosiralavera,Que hacer en la panadería con la gente que no usa pinzas para cargar el pan?Corona virus en puerta,2020-03-04 22:38:51+00:00,2020-03-04,0,,,0.0,0.0
33,1235333461877149697,NinaMuller77,Ich bin momentan in den USA und die Vorbereitung auf Corona hier ist alles andere als vorbildlich.,2020-03-04 22:37:03+00:00,2020-03-04,0,,,0.0,0.0
34,1235333412141006849,Cynthia90307908,Oh please! The flu has killed more people this year than the Corona virus wil ever in the US. He was the first to cancel flights coming into the USA to protect the American people!,2020-03-04 22:36:51+00:00,2020-03-04,0,,,0.09000000000000001,0.14
35,1235333015733235720,snoopythepilot,Conservatives in USA saying corona virus is a hoax. Conservatives in UK &amp; the rest of the world owning the problem. Confirmation that Republicans are stupid,2020-03-04 22:35:16+00:00,2020-03-04,0,,,-0.26666666666666666,0.3333333333333333
36,1235331725816979463,InvestingDE,"USA #Aktien waren höher zum Handelsschluss; Dow Jones Industrial Average kletterte um 4,53% - ",2020-03-04 22:30:09+00:00,2020-03-04,0,#Aktien,,-0.15,0.4
37,1235331455485693955,AndresRodrigu92,"""Y ahora quién usa mi corona..."" Basta! Culpa de ustedes.",2020-03-04 22:29:04+00:00,2020-03-04,0,,,0.0,0.0
